,Freq,Reporter,Partner,ProductCode,Indicator,Year,Value,DataSource
997,Annual,Samoa,World,Miscellaneous,Import Trade Value (US$ Thousand),2017,12429.478208334,WITS - UNSD Comtrade
730,Annual,Comoros,Middle East and North Africa,Food,Import Trade Value (US$ Thousand),2017,12416.9964987569,WITS - UNSD Comtrade
2710,Annual,Madagascar,World,Footwear,Import Trade Value (US$ Thousand),2017,12391.1296317261,WITS - UNSD Comtrade
647,Annual,Mongolia,Europe and Central Asia,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12382.56446,WITS - UNSD Comtrade
927,Annual,Occ.Pal.Terr,Israel,Hides and Skins,Import Trade Value (US$ Thousand),2017,12373.3289892509,WITS - UNSD Comtrade
2531,Annual,Mongolia,World,Ores and Metals,Import Trade Value (US$ Thousand),2017,12358.52712,WITS - UNSD Comtrade
804,Annual,Namibia,Europe and Central Asia,Wood,Import Trade Value (US$ Thousand),2017,12351.1753077446,WITS - UNSD Comtrade
2386,Annual,Uganda,South Asia,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12349.82516,WITS - UNSD Comtrade
1988,Annual,Malawi,South Asia,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12349.5039693136,WITS - UNSD Comtrade
2122,Annual,St. Vincent and the Grenadines,United States,Food Products,Import Trade Value (US$ Thousand),2017,12346.578060817,WITS - UNSD Comtrade
2551,Annual,Uganda,Sub-Saharan Africa,Footwear,Import Trade Value (US$ Thousand),2017,12333.91105,WITS - UNSD Comtrade
464,Annual,Andorra,East Asia and Pacific,Footwear,Import Trade Value (US$ Thousand),2017,12330.0505473257,WITS - UNSD Comtrade
351,Annual,Central African Republic,Europe and Central Asia,Food Products,Import Trade Value (US$ Thousand),2017,12324.8993595863,WITS - UNSD Comtrade
1396,Annual,Cape Verde,Sub-Saharan Africa,Fuel,Import Trade Value (US$ Thousand),2017,12323.1672862601,WITS - UNSD Comtrade
1381,Annual,Cape Verde,Sub-Saharan Africa,Fuels,Import Trade Value (US$ Thousand),2017,12323.0715576537,WITS - UNSD Comtrade
1299,Annual,Montenegro,Italy,Vegetable,Import Trade Value (US$ Thousand),2017,12320.3918926495,WITS - UNSD Comtrade
706,Annual,Iceland,East Asia and Pacific,Stone and Glass,Import Trade Value (US$ Thousand),2017,12318.9441358867,WITS - UNSD Comtrade
682,Annual,Samoa,New Zealand,Wood,Import Trade Value (US$ Thousand),2017,12312.614211986,WITS - UNSD Comtrade
1619,Annual,Antigua and Barbuda,North America,Plastic or Rubber,Import Trade Value (US$ Thousand),2017,12312.5601577979,WITS - UNSD Comtrade
2037,Annual,Nepal,South Asia,Footwear,Import Trade Value (US$ Thousand),2017,12303.7795980532,WITS - UNSD Comtrade
556,Annual,Mauritania,Spain,Minerals,Import Trade Value (US$ Thousand),2017,12286.3427394746,WITS - UNSD Comtrade
