ReporterEconomyCode,PartnerEconomyCode,Year,Value,r_lat,r_long,Reporter,p_lat,p_long,Partner,ProductOrSectorCode
634,56,2017,53532611.0,25.354826,51.183884,Qatar,50.503887,4.469936,Belgium,01
646,56,2017,423036.0,-1.940278,29.873888,Rwanda,50.503887,4.469936,Belgium,01
756,56,2017,10803442.0,46.818188,8.227512,Switzerland,50.503887,4.469936,Belgium,01
768,56,2017,38709.0,8.619543,0.824782,Togo,50.503887,4.469936,Belgium,01
800,56,2017,225968.0,1.373333,32.290275,Uganda,50.503887,4.469936,Belgium,01
854,56,2017,179777.0,12.238333,-1.561593,Burkina Faso,50.503887,4.469936,Belgium,01
84,484,2017,133067.0,17.189877,-88.49765,Belize,23.634501,-102.552784,Mexico,01
840,484,2017,727869956.0,37.09024,-95.712891,United States,23.634501,-102.552784,Mexico,01
84,320,2017,576.0,17.189877,-88.49765,Belize,15.783471,-90.230759,Guatemala,01
222,320,2017,1932718.0,13.794185,-88.89653,El Salvador,15.783471,-90.230759,Guatemala,01
84,591,2017,80.0,17.189877,-88.49765,Belize,8.537981,-80.782127,Panama,01
96,36,2017,6174670.0,4.535277,114.727669,Brunei,-25.274398,133.775136,Australia,01
104,36,2017,936053.0,21.913965,95.956223,Myanmar,-25.274398,133.775136,Australia,01
144,36,2017,9342517.0,7.873054,80.771797,Sri Lanka,-25.274398,133.775136,Australia,01
156,36,2017,136737514.0,35.86166,104.195397,China,-25.274398,133.775136,Australia,01
158,36,2017,6137000.0,23.69781,120.960515,"Taiwan, China",-25.274398,133.775136,Australia,01
344,36,2017,53200711.0,22.396428,114.109497,"Hong Kong, China",-25.274398,133.775136,Australia,01
360,36,2017,521789966.0,-0.789275,113.921327,Indonesia,-25.274398,133.775136,Australia,01
376,36,2017,45043000.0,31.046051,34.851612,Israel,-25.274398,133.775136,Australia,01
392,36,2017,43767040.0,36.204824,138.252924,Japan,-25.274398,133.775136,Australia,01
458,36,2017,37651715.0,4.210484,101.975766,Malaysia,-25.274398,133.775136,Australia,01
480,36,2017,567492.0,-20.348404,57.552152,Mauritius,-25.274398,133.775136,Australia,01
554,36,2017,38751955.0,-40.900557,174.885971,New Zealand,-25.274398,133.775136,Australia,01
586,36,2017,9414753.0,30.375321,69.345116,Pakistan,-25.274398,133.775136,Australia,01
608,36,2017,4162416.0,12.879721,121.774017,Philippines,-25.274398,133.775136,Australia,01
634,36,2017,80306716.0,25.354826,51.183884,Qatar,-25.274398,133.775136,Australia,01
702,36,2017,5508504.0,1.352083,103.819836,Singapore,-25.274398,133.775136,Australia,01
710,36,2017,5498457.0,-30.559482,22.937506,South Africa,-25.274398,133.775136,Australia,01
764,36,2017,5731177.0,15.870032,100.992541,Thailand,-25.274398,133.775136,Australia,01
96,458,2017,5053631.0,4.535277,114.727669,Brunei,4.210484,101.975766,Malaysia,01
104,458,2017,765309.0,21.913965,95.956223,Myanmar,4.210484,101.975766,Malaysia,01
702,458,2017,174821019.0,1.352083,103.819836,Singapore,4.210484,101.975766,Malaysia,01
96,156,2017,254906.0,4.535277,114.727669,Brunei,35.86166,104.195397,China,01
124,156,2017,9586334.0,56.130366,-106.346771,Canada,35.86166,104.195397,China,01
344,156,2017,480319253.0,22.396428,114.109497,"Hong Kong, China",35.86166,104.195397,China,01
410,156,2017,11782547.0,40.339852,127.510093,"Korea, Rep.",35.86166,104.195397,China,01
446,156,2017,37655758.0,22.198745,113.543873,Macao,35.86166,104.195397,China,01
496,156,2017,46570.0,46.862496,103.846656,Mongolia,35.86166,104.195397,China,01
96,608,2017,75799.0,4.535277,114.727669,Brunei,12.879721,121.774017,Philippines,01
104,764,2017,5730369.0,21.913965,95.956223,Myanmar,15.870032,100.992541,Thailand,01
418,764,2017,823280.0,19.85627,102.495496,Lao PDR,15.870032,100.992541,Thailand,01
458,764,2017,7103992.0,4.210484,101.975766,Malaysia,15.870032,100.992541,Thailand,01
108,800,2017,1950005.0,-3.373056,29.918886,Burundi,1.373333,32.290275,Uganda,01
646,800,2017,345068.0,-1.940278,29.873888,Rwanda,1.373333,32.290275,Uganda,01
108,404,2017,31012.0,-3.373056,29.918886,Burundi,-0.023559,37.906193,Kenya,01
646,404,2017,74082.0,-1.940278,29.873888,Rwanda,-0.023559,37.906193,Kenya,01
800,404,2017,1286201.0,1.373333,32.290275,Uganda,-0.023559,37.906193,Kenya,01
108,834,2017,28475.0,-3.373056,29.918886,Burundi,-6.369028,34.888822,Tanzania,01
156,643,2017,19405639.0,35.86166,104.195397,China,61.52401,105.318756,Russian Federation,01
268,643,2017,2103481.0,42.315407,43.356892,Georgia,61.52401,105.318756,Russian Federation,01
398,643,2017,12548377.0,48.019573,66.923684,Kazakhstan,61.52401,105.318756,Russian Federation,01
417,643,2017,164153.0,41.20438,74.766098,Kyrgyz Republic,61.52401,105.318756,Russian Federation,01
496,643,2017,985241.0,46.862496,103.846656,Mongolia,61.52401,105.318756,Russian Federation,01
188,558,2017,3081466.0,9.748917,-83.753428,Costa Rica,12.865416,-85.207229,Nicaragua,01
192,250,2017,47934.0,21.521757,-77.781167,Cuba,46.227638,2.213749,France,01
204,250,2017,29029.0,9.30769,2.315834,Benin,46.227638,2.213749,France,01
324,250,2017,1503.0,9.945587,-9.696645,Guinea,46.227638,2.213749,France,01
356,250,2017,948581.0,20.593684,78.96288,India,46.227638,2.213749,France,01
384,250,2017,1747016.0,7.539989,-5.54708,Cote d'Ivoire,46.227638,2.213749,France,01
478,250,2017,94406.0,21.00789,-10.940835,Mauritania,46.227638,2.213749,France,01
480,250,2017,396142.0,-20.348404,57.552152,Mauritius,46.227638,2.213749,France,01
496,250,2017,624613.0,46.862496,103.846656,Mongolia,46.227638,2.213749,France,01
504,250,2017,42250165.0,31.791702,-7.09262,Morocco,46.227638,2.213749,France,01
686,250,2017,3117622.0,14.497401,-14.452362,Senegal,46.227638,2.213749,France,01
756,250,2017,22934762.0,46.818188,8.227512,Switzerland,46.227638,2.213749,France,01
768,250,2017,3436.0,8.619543,0.824782,Togo,46.227638,2.213749,France,01
204,854,2017,581.0,9.30769,2.315834,Benin,12.238333,-1.561593,Burkina Faso,01
288,854,2017,808106.0,7.946527,-1.023194,Ghana,12.238333,-1.561593,Burkina Faso,01
222,188,2017,323866.0,13.794185,-88.89653,El Salvador,9.748917,-83.753428,Costa Rica,01
558,188,2017,5881696.0,12.865416,-85.207229,Nicaragua,9.748917,-83.753428,Costa Rica,01
591,188,2017,129846.0,8.537981,-80.782127,Panama,9.748917,-83.753428,Costa Rica,01
268,804,2017,5664758.0,42.315407,43.356892,Georgia,48.379433,31.16558,Ukraine,01
400,804,2017,8377313.0,30.585164,36.238414,Jordan,48.379433,31.16558,Ukraine,01
324,466,2017,73413.0,9.945587,-9.696645,Guinea,17.570692,-3.996166,Mali,01
356,616,2017,1649373.0,20.593684,78.96288,India,51.919438,19.145136,Poland,01
417,616,2017,309779.0,41.20438,74.766098,Kyrgyz Republic,51.919438,19.145136,Poland,01
